username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
jaugustogv;2013-07-28 07:52;0;0;"#A59AñosDeTuNatalicioChavez la historia verdadera t guarda como el gran estadista y luchador social y reinvicador de los pobres. #ChavezVive";;;#A59A #ChavezVive;"361461667638427648";https://twitter.com/jaugustogv/status/361461667638427648
luis8af;2013-07-28 07:51;1;0;"#ChavezVive la lucha sigue. HLVS Comandante.";;;#ChavezVive;"361461310342443009";https://twitter.com/luis8af/status/361461310342443009
shirleymayelin;2013-07-28 07:49;0;0;"#FelizCumpleañosComandanteChavez Hoy celebramos y t conmemoramos tu natalicio #ComandanteEterno gracias Dios mio por tanta dicha #Chavezvive";;;#FelizCumplea #ComandanteEterno #Chavezvive;"361461006200877056";https://twitter.com/shirleymayelin/status/361461006200877056
M3jias_Otk;2013-07-28 07:43;0;0;"hoy mas que nunca puedo decir gracias cdte chavez, eres mi gran lider y maestro #ChavezVive qque viva nuestro lider y q viva la revolucion";;;#ChavezVive;"361459507479588864";https://twitter.com/M3jias_Otk/status/361459507479588864
visiondesdecuba;2013-07-28 07:42;0;0;"Chávez: cronología de un revolucionario http:// bit.ly/14nWGgv #ChavezVive";;;#ChavezVive;"361459041022656512";https://twitter.com/visiondesdecuba/status/361459041022656512
IndiraSegovia;2013-07-28 07:32;0;0;"Buenos dias. Recordando al Eterno y amado Presidente Chávez. Tanta falta que nos hace!. Pero Dios sabe por q hace las cosas. #ChávezVive";;;#Ch;"361456602164891648";https://twitter.com/IndiraSegovia/status/361456602164891648
psuvfalcon;2013-07-28 07:30;4;0;"Nuestro comandante esta en el corazón de su pueblo que defiende su legado #ChávezVive @jmontillapsuv (Audio) http:// goo.gl/Pex2va";;@jmontillapsuv;#Ch;"361456175952306176";https://twitter.com/psuvfalcon/status/361456175952306176
jesuscomunica;2013-07-28 07:27;1;0;"Feliz Cumpleaños MI COMANDANTE GIGANTE @chavezcandanga la historia te recuerda como el que unió Latinoamérica #ChavezVive y la lucha sigue";;@chavezcandanga;#ChavezVive;"361455410164670466";https://twitter.com/jesuscomunica/status/361455410164670466
peniel1961;2013-07-28 07:01;4;0;"El mejor homenaje que se le puede rendir al comandante CHAVEZ es DEFENDER su LEGADO y hacer q se cumpla CABALMENTE #CHAVEZVIVE";;;#CHAVEZVIVE;"361448914949386240";https://twitter.com/peniel1961/status/361448914949386240
RamiroCalafate;2013-07-28 06:58;0;0;"#ChavezViveEnElPueblo #ChavezVIVE pic.twitter.com/WYfIhYgVbM";;;#ChavezViveEnElPueblo #ChavezVIVE;"361447944601350144";https://twitter.com/RamiroCalafate/status/361447944601350144
calvarez1979;2013-07-28 06:53;0;0;"Conmemorandote comandante @chavezcandanga hoy convertido en millones de corazones ¡CLARO QUE VIVES CARAJO, Y SEGUIMOS LUCHANDO! #ChavezVive";;@chavezcandanga;#ChavezVive;"361446728794255361";https://twitter.com/calvarez1979/status/361446728794255361
MendozaSugeil;2013-07-28 06:37;1;0;"Hoy se cumplen 59 años del nacimiento de nuestro Comandante Eterno. Guerrero de mi Inspiracion Gracias a ti hoy Tenemos Patria #ChavezVive";;;#ChavezVive;"361442911046483968";https://twitter.com/MendozaSugeil/status/361442911046483968
moyawr;2013-07-28 06:33;3;0;"#YoSoyChavezPorque llevo presente su Amor, trabajo y dedicación X los humildes de esta Patria, Unidad, Lucha, Batalla y Victoria. #ChavezVive";;;#YoSoyChavezPorque #ChavezVive;"361441716726808576";https://twitter.com/moyawr/status/361441716726808576
jsegriman;2013-07-28 06:00;0;0;"No hay mal que dure 100 Años ni cuerpo q lo resista, yo me quedo en #Venezuela xq yo si #SoyChavista desde mi Corazón. #ChávezVive";;;#Venezuela #SoyChavista #Ch;"361433367880794112";https://twitter.com/jsegriman/status/361433367880794112
ALEJANDROAABRAM marly254;2013-07-28 05:56;8;1;"@marlyroj @damarisdmoreno ES ASÍ CAMARADA! PODRÁN OPERAR SOBRE EL TWITTER, PERO JAMÁS S/ NUESTRA CONCIENCIA REVOLUC.! #ChavezVive #TropaArg";;@marlyroj @damarisdmoreno;#ChavezVive #TropaArg;"361432386413666304";https://twitter.com/ALEJANDROAABRAM/status/361432386413666304
